Title:,testData.csv,
Sampling period:,1,[s]
Sampling number:,100,
,,
[s],[mm],[mm]
Time,X,Y
0,0,1
1,0.841470985,0.540302306
2,0.909297427,-0.416146837
3,0.141120008,-0.989992497
4,-0.756802495,-0.653643621
5,-0.958924275,0.283662185
6,-0.279415498,0.960170287
7,0.656986599,0.753902254
8,0.989358247,-0.145500034
9,0.412118485,-0.911130262
10,-0.544021111,-0.839071529
11,-0.999990207,0.004425698
12,-0.536572918,0.843853959
13,0.420167037,0.907446781
14,0.990607356,0.136737218
15,0.65028784,-0.759687913
16,-0.287903317,-0.95765948
17,-0.961397492,-0.275163338
18,-0.750987247,0.660316708
19,0.14987721,0.988704618
20,0.912945251,0.408082062
21,0.836655639,-0.54772926
22,-0.008851309,-0.999960826
23,-0.846220404,-0.53283302
24,-0.905578362,0.424179007
25,-0.13235175,0.991202812
26,0.76255845,0.646919322
27,0.956375928,-0.292138809
28,0.270905788,-0.962605866
29,-0.663633884,-0.74805753
30,-0.988031624,0.15425145
31,-0.404037645,0.914742358
32,0.551426681,0.834223361
33,0.99991186,-0.013276747
34,0.529082686,-0.848570275
35,-0.428182669,-0.903692205
36,-0.991778853,-0.12796369
37,-0.643538133,0.765414052
38,0.296368579,0.955073644
39,0.963795386,0.266642932
40,0.74511316,-0.666938062
41,-0.158622669,-0.987339278
42,-0.916521548,-0.399985315
43,-0.831774743,0.555113302
44,0.017701925,0.999843309
45,0.850903525,0.525321989
46,0.901788348,-0.432177945
47,0.123573123,-0.992335469
48,-0.768254661,-0.640144339
49,-0.953752653,0.300592544
50,-0.262374854,0.964966028
51,0.670229176,0.742154197
52,0.986627592,-0.162990781
53,0.39592515,-0.918282786
54,-0.558789049,-0.829309833
55,-0.999755173,0.022126756
56,-0.521551002,0.853220108
57,0.436164755,0.899866827
58,0.992872648,0.119180135
59,0.636738007,-0.771080223
60,-0.304810621,-0.95241298
61,-0.96611777,-0.258101636
62,-0.739180697,0.673507162
63,0.1673557,0.985896582
64,0.920026038,0.39185723
65,0.826828679,-0.562453851
66,-0.026551154,-0.999647456
67,-0.855519979,-0.5177698
68,-0.897927681,0.440143022
69,-0.114784814,0.99339038
70,0.773890682,0.633319203
71,0.951054653,-0.309022728
72,0.253823363,-0.967250588
73,-0.676771957,-0.736192718
74,-0.98514626,0.171717342
75,-0.387781635,0.92175127
76,0.566107637,0.824331331
77,0.999520159,-0.030975032
78,0.513978456,-0.857803093
79,-0.444112669,-0.895970947
80,-0.993888654,-0.110387244
81,-0.629887994,0.776685982
82,0.313228782,0.949677698
83,0.968364461,0.249540118
84,0.73319032,-0.680023496
85,-0.17607562,-0.984376643
86,-0.923458447,-0.383698445
87,-0.821817837,0.569750334
88,0.035398303,0.999373284
89,0.860069406,0.510177045
90,0.893996664,-0.448073616
91,0.105987512,-0.994367461
92,-0.77946607,-0.626444448
93,-0.948282141,0.317428702
94,-0.245251985,0.969459367
95,0.683261715,0.730173561
96,0.983587745,-0.180430449
97,0.379607739,-0.925147537
98,-0.573381872,-0.819288245
99,-0.999206834,0.03982088
100,-0.506365641,0.862318872
